Сессия: 1748786478 | Эпизод:    1/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 0.94 | Epsilon: 0.995 | Время: 2.10 секк
Сессия: 1748786478 | Эпизод:    2/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 0.97 | Epsilon: 0.990 | Время: 10.40 секк
Сессия: 1748786478 | Эпизод:    3/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.56 | Epsilon: 0.986 | Время: 18.99 секк
Сессия: 1748786478 | Эпизод:    4/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.31 | Epsilon: 0.981 | Время: 27.64 секк
Сессия: 1748786478 | Эпизод:    5/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 3.13 | Epsilon: 0.976 | Время: 39.13 секк
Сессия: 1748786478 | Эпизод:    6/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.31 | Epsilon: 0.971 | Время: 49.00 секк
Сессия: 1748786478 | Эпизод:    7/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.18 | Epsilon: 0.967 | Время: 58.89 секк
Сессия: 1748786478 | Эпизод:    8/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.79 | Epsilon: 0.962 | Время: 68.61 секк
Сессия: 1748786478 | Эпизод:    9/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.47 | Epsilon: 0.957 | Время: 79.89 секк
Сессия: 1748786478 | Эпизод:   10/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.03 | Epsilon: 0.953 | Время: 89.58 секк
Сессия: 1748786478 | Эпизод:   11/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 2.19 | Epsilon: 0.948 | Время: 99.34 секк
Сессия: 1748786478 | Эпизод:   12/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.68 | Epsilon: 0.943 | Время: 110.81 секк
Сессия: 1748786478 | Эпизод:   13/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.84 | Epsilon: 0.939 | Время: 120.61 секк
Сессия: 1748786478 | Эпизод:   14/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.87 | Epsilon: 0.934 | Время: 132.50 секк
Сессия: 1748786478 | Эпизод:   15/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.33 | Epsilon: 0.930 | Время: 142.56 секк
Сессия: 1748786478 | Эпизод:   16/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.84 | Epsilon: 0.925 | Время: 152.63 секк
Сессия: 1748786478 | Эпизод:   17/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.06 | Epsilon: 0.921 | Время: 161.71 секк
Сессия: 1748786478 | Эпизод:   18/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 0.97 | Epsilon: 0.916 | Время: 171.90 секк
Сессия: 1748786478 | Эпизод:   19/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 0.58 | Epsilon: 0.912 | Время: 182.05 секк
Сессия: 1748786478 | Эпизод:   20/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 9.46 | Epsilon: 0.908 | Время: 192.69 секк
Сессия: 1748786478 | Эпизод:   21/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 4.94 | Epsilon: 0.903 | Время: 204.38 секк
Сессия: 1748786478 | Эпизод:   22/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 5.56 | Epsilon: 0.899 | Время: 213.81 секк
Сессия: 1748786478 | Эпизод:   23/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 5.02 | Epsilon: 0.894 | Время: 225.19 секк
Сессия: 1748786478 | Эпизод:   24/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 2.48 | Epsilon: 0.890 | Время: 236.04 секк
Сессия: 1748786478 | Эпизод:   25/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 0.76 | Epsilon: 0.886 | Время: 246.75 секк
Сессия: 1748786478 | Эпизод:   26/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 2.12 | Epsilon: 0.882 | Время: 256.92 секк
Сессия: 1748786478 | Эпизод:   27/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.12 | Epsilon: 0.877 | Время: 269.90 секк
Сессия: 1748786478 | Эпизод:   28/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.63 | Epsilon: 0.873 | Время: 282.73 секк
Сессия: 1748786478 | Эпизод:   29/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 3.22 | Epsilon: 0.869 | Время: 296.31 секк
Сессия: 1748786478 | Эпизод:   30/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 3.62 | Epsilon: 0.865 | Время: 309.92 секк
Сессия: 1748786478 | Эпизод:   31/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 0.84 | Epsilon: 0.860 | Время: 324.18 секк
Сессия: 1748786478 | Эпизод:   32/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.23 | Epsilon: 0.856 | Время: 337.20 секк
Сессия: 1748786478 | Эпизод:   33/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 2.10 | Epsilon: 0.852 | Время: 348.80 секк
Сессия: 1748786478 | Эпизод:   34/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.32 | Epsilon: 0.848 | Время: 361.37 секк
Сессия: 1748786478 | Эпизод:   35/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.20 | Epsilon: 0.844 | Время: 375.59 секк
Сессия: 1748786478 | Эпизод:   36/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 4.48 | Epsilon: 0.840 | Время: 388.82 секк
Сессия: 1748786478 | Эпизод:   37/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.69 | Epsilon: 0.836 | Время: 400.79 секк
Сессия: 1748786478 | Эпизод:   38/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.95 | Epsilon: 0.832 | Время: 412.95 секк
Сессия: 1748786478 | Эпизод:   39/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.28 | Epsilon: 0.828 | Время: 421.28 секк
Сессия: 1748786478 | Эпизод:   40/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.86 | Epsilon: 0.824 | Время: 430.33 секк
Сессия: 1748786478 | Эпизод:   41/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.06 | Epsilon: 0.820 | Время: 442.02 секк
Сессия: 1748786478 | Эпизод:   42/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 2.94 | Epsilon: 0.816 | Время: 452.22 секк
